family	n	complete	rewrites	transport	generations	peak_cells	docks	retracts
identity	0	1	4	295	303	333	4	0
fork-dispatch	0	1	5	821	719	639	5	0
s-rule-sharing	0	0	2	355	398	808	2	0
disp-t	0	0	3	689	888	1965	3	0
k-chain	1	1	7	1114	1017	725	7	0
k-chain	2	0	7	1508	1488	1422	7	0
k-chain	3	0	7	1508	1488	1969	7	0
k-chain	4	0	7	1508	1488	2566	7	0
discard-tree	1	1	7	1174	1077	1085	7	0
discard-tree	2	1	7	1174	1077	1667	7	0
discard-tree	3	1	7	1174	1077	3359	7	0
discard-tree	4	1	7	1174	1077	9719	7	0
discard-tree	5	1	7	1174	1077	34343	7	0
discard-tree	6	1	7	1174	1077	131207	7	0
convoy	1	0	4	821	724	779	4	0
convoy	2	0	5	1192	1176	1433	5	0
convoy	3	0	5	1192	1176	1823	5	0
convoy	4	0	5	1192	1176	2245	5	0
convoy	5	0	5	1192	1176	2699	5	0
convoy	6	0	5	1192	1176	3185	5	0
share-tower	1	0	2	355	398	1101	2	0
share-tower	2	0	2	355	398	2736	2	0
share-tower	3	0	2	355	398	4911	2	0
share-tower	4	0	2	355	398	7464	2	0
share-tower	5	0	2	355	398	10233	2	0
